what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1430123318467
arch,sysinfo,,,"x86",1430123318467
ws,sysinfo,,,"win32",1430123318467
locale,sysinfo,,,"en_IN",1430123318467
processors,sysinfo,,,"4",1430123318467
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1430123318467
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1430123318467
java.specification.name,sysinfo,,,"Java Platform API Specification",1430123318467
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1430123318467
java.specification.version,sysinfo,,,"1.6",1430123318467
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1430123318467
java.version,sysinfo,,,"1.6.0_16",1430123318467
java.vm.info,sysinfo,,,"mixed mode",1430123318467
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1430123318467
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1430123318467
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1430123318467
java.vm.specification.version,sysinfo,,,"1.0",1430123318467
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1430123318467
java.vm.version,sysinfo,,,"14.2-b01",1430123318467
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1430123318592
started,bundle,org.eclipse.team.svn.revision.graph,1.0.0.I20120601-1700,"org.eclipse.team.svn.revision.graph",1430123322198
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1430123327007
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1430123333780
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1430123519878
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1430123519901
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1430124115674
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1430124115676
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1430124115677
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1430124115678
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1430124115702
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1430124115703
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1430124115776
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1430124115777
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1430124115777
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1430124115778
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1430124115779
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1430124115827
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1430124115828
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1430124115829
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1430124115896
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1430124115898
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1430124115922
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1430124115925
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1430124115977
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1430124115979
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1430124115980
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1430124115982
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1430124115983
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1430124115983
started,bundle,org.eclipse.emf.common.ui,2.5.0.v200906151043,"org.eclipse.emf.common.ui",1430124115983
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1430124115983
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1430124115985
started,bundle,org.eclipse.emf.edit,2.5.0.v200906151043,"org.eclipse.emf.edit",1430124115985
started,bundle,org.eclipse.emf.edit.ui,2.5.0.v200906151043,"org.eclipse.emf.edit.ui",1430124115985
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1430124115987
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1430124116023
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1430124116024
started,bundle,org.eclipse.equinox.common,3.5.1.R35x_v20090807-1100,"org.eclipse.equinox.common",1430124116025
started,bundle,org.eclipse.equinox.ds,1.1.1.R35x_v20090806,"org.eclipse.equinox.ds",1430124116027
started,bundle,org.eclipse.equinox.p2.core,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.core",1430124116028
started,bundle,org.eclipse.equinox.p2.director,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.director",1430124116031
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20090525,"org.eclipse.equinox.p2.directorywatcher",1430124116032
